"NDC","PROD_ID","INA_DT","RIN_DT"
"00011836712",2622,25-OCT-2005 15:26:30,21-JUN-2001 10:02:27
"00395220101",21420,01-OCT-1989 00:00:00,
"08137009723",482091,13-JUL-2011 14:22:15,
"08137009560",482092,04-AUG-2014 09:36:58,
"54569278800",60112,12-MAR-1996 00:00:00,
"08137004831",64621,30-SEP-2014 11:34:48,
"08137004832",64622,30-SEP-2014 11:35:17,
"08137006101",64716,30-SEP-2014 12:34:09,
"54569324600",68035,26-NOV-2001 20:30:33,
"21695055060",476233,12-APR-2014 08:17:11,
"10939006711",69370,01-FEB-1995 00:00:00,
"00003037443",75603,31-DEC-2008 11:50:41,
"70074000264",79150,01-FEB-1996 00:00:00,
"30237890006",476981,,
"49281086051",459893,01-FEB-2001 13:17:53,
"49281086052",459893,01-FEB-2003 13:05:40,
"49281086010",459893,,
"00193654621",145906,,
"24385006576",79757,18-FEB-2003 09:37:38,
"00003037436",75603,31-DEC-2008 11:50:41,
"00113030601",469480,19-OCT-2011 14:16:05,
"00113030602",469480,19-OCT-2011 14:16:16,
"00113030603",469480,19-OCT-2011 14:16:26,
"00113030652",469486,19-OCT-2011 14:16:37,
"44411102004",466972,31-DEC-2010 09:04:20,
"54569481200",204837,31-JAN-2003 12:05:00,22-SEP-2009 10:25:54
"35781019405",469459,,
"00011936712",205455,25-OCT-2005 15:26:50,
"51709000605",211875,21-DEC-2005 07:56:28,02-NOV-2010 12:51:36
"54868410500",214157,17-JUL-2003 16:52:25,
"08004046900",237078,,
"44411102504",466976,31-DEC-2010 09:04:20,
"08463820350",467579,,
"08463620350",467584,,
"08004042800",251403,,
"08004048900",251405,01-JAN-2016 15:20:26,
"08004041600",256377,12-MAY-2014 14:47:13,
"10337066667",472251,,
"08004047600",280936,,
"70074056974",281274,,
"37000074091",282600,18-JUL-1994 00:00:00,26-MAR-2003 18:05:50
"37000074092",282601,18-JUL-1994 00:00:00,26-MAR-2003 18:07:49
"00193708050",315564,,
"00193709021",315565,,
"70074057536",316192,,
"00430342010",343489,26-OCT-2010 10:59:11,
"08290236712",358420,,
"59781058012",368607,,
"49281086055",459893,15-JUL-2014 11:08:50,
"68405101401",401870,05-DEC-2014 08:29:54,
"68405101301",401871,05-DEC-2014 08:29:54,
"68405101501",401872,05-DEC-2014 08:29:54,
"08484052800",408763,19-MAY-2011 09:47:29,15-MAR-2013 10:13:15
"00087128841",418796,15-DEC-2015 11:34:45,
"76300038410",424984,,
"00193707025",425415,,
"38396031214",440387,,
"64980014612",453913,,
"49348048262",455118,,
"49348048062",455119,,
"49348047662",455121,,
"49452080801",455011,19-JUN-2012 15:04:44,
"49452080802",455011,19-JUN-2012 15:04:44,
"49452080803",455011,19-JUN-2012 15:04:44,
"55198000100",454862,,
"49452120301",455020,19-JUN-2012 15:04:44,
"49452120302",455020,19-JUN-2012 15:04:44,
"49452059001",454928,19-JUN-2012 15:04:44,
"49452059002",454928,19-JUN-2012 15:04:44,
"49452059003",454928,19-JUN-2012 15:04:44,
"49452061401",454929,19-JUN-2012 15:04:44,
"49452061402",454929,19-JUN-2012 15:04:44,
"49452061403",454929,19-JUN-2012 15:04:44,
"49452061801",454930,19-JUN-2012 15:04:44,
"49452061802",454930,19-JUN-2012 15:04:44,
"49452061803",454930,19-JUN-2012 15:04:44,
"49452063501",454931,19-JUN-2012 15:04:44,
"49452063502",454931,19-JUN-2012 15:04:44,
"49452273501",454846,19-JUN-2012 15:04:44,
"49452273502",454846,19-JUN-2012 15:04:44,
"49452058001",454844,19-JUN-2012 15:04:44,
"49452058002",454844,19-JUN-2012 15:04:44,
"49452058003",454844,19-JUN-2012 15:04:44,
"49452258004",455171,19-JUN-2012 15:04:44,
"49452258003",455171,19-JUN-2012 15:04:44,
"49452258002",455171,19-JUN-2012 15:04:44,
"49452258001",455171,19-JUN-2012 15:04:44,
"94030000202",469094,,
"49614085078",454786,26-MAY-2009 10:58:25,
"37205071872",454883,19-DEC-2011 10:36:33,
"41163023161",454172,15-JUN-2016 13:45:35,
"00193660601",453344,,
"93764060202",454506,,
"48503088657",455112,,
"51552057704",455120,,
"49452179501",455045,19-JUN-2012 15:04:44,
"49452179502",455045,19-JUN-2012 15:04:44,
"49452179503",455045,19-JUN-2012 15:04:44,
"41167020130",455430,,
"41167020410",455431,,
"41167020220",455433,01-OCT-2007 07:43:22,
"41167020350",455440,,
"41167020365",455442,01-JUN-2009 12:30:37,
"41167020374",455443,01-JUN-2009 12:30:37,
"41167020372",455446,01-JUN-2009 12:30:37,
"41167020370",455447,01-JUN-2009 12:30:37,
"41167020376",455448,01-JUN-2009 12:30:37,
"41167006800",455453,,
"41167006809",455895,,
"37205046978",456552,17-OCT-2008 11:09:16,16-OCT-2008 10:26:13
"08484072500",460462,,
"08004053800",459692,12-MAY-2014 09:37:27,
"08317720050",463049,,
"08463520350",471501,,
"81131017107",465377,,
"81131017110",465387,,
"81131017111",465391,,
"81131017112",465399,,
"81131017109",465401,,
"81131017108",465405,,
"89411001170",465408,12-MAY-2015 08:34:12,
"82891021054",465438,,
"82891021050",465441,,
"15630102610",466259,04-JUL-2011 09:20:26,
"15630102810",466258,04-JUL-2011 09:20:26,
"00087136545",466606,15-DEC-2015 11:34:45,
"83490022019",465771,,
"63868061301",465172,,
"63868062401",465164,,
"63868062160",465166,,
"63868062001",465167,,
"63868062060",465167,,
"76300036810",465544,,
"76300036910",465545,,
"76300037010",465546,,
"86227028105",466164,,
"86227028205",466169,,
"86227030105",466170,,
"86227030205",466172,,
"50428308624",466044,,
"37205060810",466046,,
"87701040574",465823,,
"08137105524",466217,30-JUN-2011 10:18:40,
"00065804601",466852,,
"96121000259",466864,,
"00087136505",466606,15-DEC-2015 11:34:45,
"08080151010",465551,23-FEB-2017 11:58:08,
"08080151020",465552,23-FEB-2017 11:58:08,
"08080151030",465553,23-FEB-2017 11:58:08,
"08080151040",465554,23-FEB-2017 11:58:08,
"08080151050",465555,23-FEB-2017 08:46:34,
"08080151060",465557,23-FEB-2017 08:46:34,
"08539105002",465559,,
"51927428300",465835,,
"86040000000",465450,,
"86040000005",465449,,
"08554424001",465741,,
"08484990250",467219,14-MAR-2013 10:03:18,
"51107000041",467237,,
"08484990355",467229,,
"68455010281",467559,,
"11640000135",467470,,
"11640000153",467472,,
"11640000044",467475,,
"11640000101",467476,,
"11640000100",467478,,
"11640000102",467497,,
"11640000103",467499,,
"11640000104",467500,,
"11640000106",467510,,
"11640000105",467511,,
"68455010283",467623,,
"68455010284",467624,,
"68455010285",467625,,
"68455010286",467626,,
"68455010913",466355,,
"68455010709",466356,,
"68455010767",466359,,
"68455010760",466361,,
"45713098000",466461,,
"45713098002",466528,,
"68455010854",466897,,
"68455010707",466956,,
"00904598931",467362,30-MAY-2014 11:27:17,
"91124000204",468044,,
"68455010287",467627,,
"68455010842",467631,,
"51927378000",466604,,
"00087128801",418796,15-DEC-2015 11:34:45,
"68455010743",467485,30-SEP-2014 10:48:39,
"45713048450",466557,,
"45713048175",466558,,
"35046000912",466569,,
"35046000908",466575,,
"35046000900",466578,,
"35046000909",466579,,
"35046000901",466580,,
"35046000910",466581,,
"35046000905",466583,,
"35046000902",466584,,
"35046000906",466585,,
"35046000907",466586,,
"08317740050",466600,,
"08317740006",466602,,
"96121000208",466601,,
"96121000237",466572,,
"96121000242",466596,,
"96121000232",466420,,
"44411103004",466978,31-DEC-2010 09:04:20,
"44411103504",466980,31-DEC-2010 09:04:20,
"44411104004",466982,31-DEC-2010 09:04:20,
"44411105004",466984,31-DEC-2010 09:04:20,
"44411106004",466985,31-DEC-2010 09:04:20,
"44411108004",466987,31-DEC-2010 09:04:20,
"44411110008",466988,31-DEC-2010 09:04:20,
"44411112508",466990,31-DEC-2010 09:04:20,
"44411115008",466991,31-DEC-2010 09:04:20,
"10119005611",466998,,
"15127022406",467213,,
"15127022408",467214,,
"15127022405",467215,,
"15127022407",467216,,
"15127022404",467217,,
"15127022424",467218,,
"15127022403",467220,,
"11640000810",467314,,
"11640000049",467301,,
"11640000001",467318,,
"11640000255",467370,,
"11640000107",467380,,
"11640000108",467382,,
"11640000109",467383,,
"11640000112",467384,,
"11640000113",467386,,
"11640000813",467426,,
"11640000814",467427,,
"11640000824",467428,,
"11640000833",467430,,
"11640000835",467431,,
"11640000034",467432,,
"11640000002",467434,,
"96121000230",467046,,
"35046000904",466588,,
"40986002505",467004,26-MAY-2016 14:44:04,
"40986002506",467005,26-MAY-2016 14:44:04,
"65628005101",467034,21-NOV-2016 14:42:47,
"96121000263",467045,,
"49614051472",469377,30-SEP-2009 09:54:58,
"00536311607",469755,06-JAN-2015 15:08:54,
"02359046005",469675,,
"70074050822",469711,,
"68455010844",467633,31-DEC-2009 14:25:12,
"51927436400",467974,,
"11640000122",468223,,
"11640000125",468224,,
"11640000129",468225,,
"11640000132",468226,,
"11640000111",468277,,
"11640000110",468278,,
"11640000114",468279,,
"11640000812",468403,,
"11640000811",468405,,
"11640000815",468407,,
"11640000821",468408,,
"11640000823",468409,,
"11640000825",468410,,
"11640000831",468411,,
"11640000832",468412,,
"11640000834",468413,,
"11640000836",468414,,
"11640000822",468415,,
"11640000004",468416,,
"30768001748",469467,01-SEP-2013 14:54:47,
"41415028173",469518,,
"08508114002",470664,,
"08508112010",470665,,
"66977030606",468759,,
"49614025878",469121,,
"49614025887",469123,,
"94030000201",469098,,
"11845015685",468956,,
"68455010841",469283,,
"68455010838",469271,,
"68455010839",469272,,
"68455010840",469273,31-DEC-2009 14:25:12,
"54629735401",468816,,
"54629036850",468878,,
"79854007006",469333,,
"54629070110",469334,,
"54629077660",469337,,
"08214043514",470379,01-OCT-2016 12:00:32,
"08214025714",470333,01-OCT-2016 12:01:34,
"08214535714",470588,01-OCT-2016 12:15:41,
"66977009768",470992,,
"91268077004",471281,,
"35046000074",471109,,
"35046000051",471095,,
"35046000065",471102,,
"35046000066",471103,,
"35046000068",471104,,
"35046000070",471105,,
"35046000078",471106,,
"35046000077",471107,,
"66977009744",470990,,
"66977009766",470991,,
"68455010399",470049,,
"68455010400",470050,,
"68455010401",470051,,
"68455010402",470052,,
"48503088647",469899,,
"48503088648",469900,,
"48503088645",469901,,
"48503088643",469903,,
"48503088642",469904,,
"48503088646",469905,,
"48503008655",469915,,
"48503008653",469916,,
"48503008652",469917,,
"48503008656",469918,,
"48503088655",469919,,
"48503088653",469920,,
"48503088652",469921,,
"48503088656",469922,,
"48503088685",469927,,
"48503088683",469929,,
"48503088682",469930,,
"48503088686",469931,,
"37205061272",470806,,
"37205061273",470806,,
"37205061271",470806,,
"35046000114",471579,,
"35046055390",471587,,
"35046000213",471581,,
"35046000100",471578,,
"35046000048",471584,,
"35046000056",471585,,
"35046000451",471582,,
"35046000207",471568,,
"35046001212",471586,,
"35046000210",471583,,
"35046000103",471570,,
"35046000141",471580,,
"35046000140",471589,,
"51552130106",472711,01-JAN-2015 09:12:14,
"50428310050",471933,27-JUL-2012 09:40:16,
"37867050107",472434,,
"37867050105",472435,,
"11917009623",472813,,
"57771000123",471011,,
"78573000074",471537,,
"72959008021",471172,,
"08484083225",471625,08-MAY-2012 07:55:44,
"23601000805",471686,,
"51552130008",472763,01-FEB-2014 14:23:39,
"51552130108",472711,10-APR-2013 13:37:06,
"51552130109",472711,10-APR-2013 13:37:22,
"51552128906",472827,10-APR-2013 13:34:53,
"51552128905",472827,10-APR-2013 13:34:38,
"51552117704",472836,01-APR-2015 10:56:42,
"51552127206",472837,10-APR-2013 13:31:21,
"12547032953",472811,12-MAY-2014 08:57:33,
"12547032992",472812,12-MAY-2014 08:52:05,
"12547032993",472814,12-MAY-2014 08:53:30,
"51552126806",472855,,
"08333903010",473476,,
"08333903030",473476,,
"08333903050",473476,,
"08333903070",473477,,
"08333905700",473479,08-MAR-2016 10:36:30,
"08333905710",473479,08-MAR-2016 10:36:59,
"76660030002",473482,,
"98939000234",473083,,
"10486000711",472031,,
"49939100101",472172,08-JUL-2015 08:49:32,
"49939100104",573182,,
"68455010891",472351,31-DEC-2010 12:03:28,
"23601023407",472195,,
"23601023572",472196,,
"00087146401",472207,,
"00087146441",472207,,
"08080670950",472803,,
"59707000166",472416,,
"23601031013",471888,,
"13703022701",471852,,
"13703031221",471855,,
"13703035221",471856,,
"13703031331",471857,,
"13703035331",471858,,
"13703031441",471859,,
"13703035441",471860,,
"13703031541",471861,,
"13703035541",471863,,
"11917009650",472561,,
"10337066669",472259,,
"10337066670",472259,,
"10337066665",472239,,
"10337066666",472239,,
"10337066686",472240,,
"10337066684",472241,,
"10337066672",472265,,
"10337066671",472787,,
"10337073010",472790,20-FEB-2015 09:39:01,
"10337081220",472801,01-APR-2011 14:31:40,
"10337081330",472802,01-APR-2011 14:31:53,
"35356056901",474714,,
"35356056902",474714,14-OCT-2011 11:20:44,
"35356056903",474714,14-OCT-2011 11:20:44,
"35356056905",474714,14-OCT-2011 11:20:44,
"24385006578",79757,25-SEP-2014 12:07:11,09-MAR-2010 10:35:21
"49735018796",473491,,
"11822211520",473492,,
"08137002233",472412,30-SEP-2014 10:27:24,
"08137002232",472413,30-SEP-2014 10:27:04,
"08137002255",472430,30-SEP-2014 10:28:02,
"08137002229",472431,30-SEP-2014 10:26:15,
"08137002230",472432,30-SEP-2014 10:26:42,
"08137001978",472436,30-SEP-2014 10:24:39,
"08137001979",472437,17-MAY-2010 09:21:57,
"08137001980",472438,17-MAY-2010 09:21:57,
"08137001075",472439,03-JAN-2011 09:16:55,
"24385047210",475460,,
"50600052254",475325,02-JAN-2010 09:32:11,
"50600052261",475326,,
"50600052278",475327,,
"50600052285",475329,,
"08004540310",475314,02-AUG-2010 10:37:32,
"08137101676",475251,,
"70074059952",476994,,
"86040000002",474426,,
"47469016176",475081,,
"24385013395",475287,,30-MAR-2010 18:32:09
"18029078066",476610,,
"18029071001",476604,,
"18029071003",476606,,
"18029071004",476607,,
"18029072001",476608,,
"18029072003",476609,,
"18029071002",476605,,
"21695056610",477137,12-APR-2014 08:17:11,
"08137005235",476677,24-FEB-2010 10:31:18,
"08484990235",475858,14-FEB-2011 14:13:22,
"08290381444",476365,,
"35046004166",478323,,
"08290381467",478447,,
"54868611300",478206,07-JUL-2015 13:12:38,
"08380019152",478311,,
"08380019002",478324,,
"08380019052",478325,,
"08380019102",478326,,
"70074053497",478521,,
"70074050838",478531,,
"63981030604",478291,01-DEC-2014 00:00:00,
"40986002543",478582,26-MAY-2016 14:44:04,
"08137102943",477261,,
"08137102933",477262,,
"51552077606",477202,10-APR-2013 16:32:34,
"12843053430",477214,,
"08380019254",477251,,
"08380014909",477252,,
"08380019204",477253,,
"35046014164",477182,,
"24385072742",477612,,
"24385003743",477613,,
"08317500001",478222,,
"08317500050",478223,,
"08317500100",478221,,
"08137004058",477832,,
"08137003109",479530,30-SEP-2014 10:38:14,
"08137003169",479532,30-JUN-2010 10:24:51,
"08137102130",479534,30-SEP-2014 12:46:44,
"08137004306",479547,30-SEP-2014 11:25:10,
"41167033164",479664,,
"41167033095",479391,,
"41167033059",479393,,
"00187136603",479752,,
"00187136812",479771,,
"41167033180",479199,,
"41167033160",479206,,
"83490031058",479142,,
"11822340030",479896,,
"68455010890",479018,31-DEC-2010 12:03:28,
"41415006875",478772,,
"38779256400",478743,01-OCT-2012 10:51:04,
"10267073701",479823,12-SEP-2011 19:36:35,
"08004049400",479979,,
"11822340040",479896,,
"08004053300",478894,12-MAY-2014 09:12:50,
"08137102227",479552,30-SEP-2014 12:48:14,
"08080670930",479763,,
"08080700603",479764,01-NOV-2012 10:02:31,
"08080700604",479809,01-NOV-2012 10:02:55,
"08080700605",479810,01-NOV-2012 10:03:43,
"08080700630",479811,01-NOV-2012 10:02:08,
"08080700640",479812,01-NOV-2012 13:29:34,
"08080700650",479813,01-NOV-2012 10:04:12,
"08080700730",479814,01-NOV-2012 10:04:31,
"08080700740",479815,01-NOV-2012 10:04:56,
"08080800580",479817,01-NOV-2012 08:37:01,
"11822370890",480142,,
"11822393550",480085,,09-JUL-2010 14:33:06
"11822393560",480085,,09-JUL-2010 14:33:48
"70074050828",478811,,
"49735015096",481625,,
"68084043098",481624,,
"64678021105",481062,,
"11822352040",480737,,
"11822489330",480712,,
"11822489320",480714,,
"70074056251",480642,,
"70074056259",480651,,
"70074056495",480688,,
"70074056489",480708,,
"70074056492",480711,,
"70074056471",480695,,
"70074056474",480704,,
"08636012301",480982,,
"08290383510",482012,,
"08290383511",482013,,
"08290383512",482014,,
"08290383516",482015,,
"08290383517",482017,,
"08290383518",482020,,
"08290383519",482022,,
"08290383520",482023,,
"11917011298",482121,,
"11917011299",482122,,
"49348090109",481731,,
"68084043099",481624,,
"89269045222",481874,,
"89269045226",481875,,
"98939000245",481945,,
"08004049800",477681,,
"70074050816",480981,,
"70074053935",480983,,
"70074059650",481045,,
"11822353540",480861,,
"59781056623",482054,,
"70074057431",481421,,05-AUG-2010 08:00:39
"70074056468",481331,,
"70074056459",481334,,
"70074056462",481338,,
"91237000141",480944,,
"91237000142",480945,,
"58487001061",480993,,
"58487001063",480994,,
"93286000007",481381,,
"65702040010",482303,,
"08137102675",482329,,
"08137102799",482330,,
"52372343201",482662,09-NOV-2016 13:39:55,
"52372343205",482662,09-NOV-2016 13:39:55,
"52372343210",482662,07-MAR-2016 00:00:00,
"08004108334",482234,11-FEB-2013 07:43:35,
"08004008795",482225,27-JUN-2014 12:49:55,02-MAY-2011 13:59:00
"08137102796",481841,01-DEC-2015 10:07:33,
"08137102814",481842,12-JUN-2012 11:08:37,
"08137102797",481843,01-DEC-2015 10:07:33,
"08137102705",481844,01-DEC-2015 10:07:33,
"08137102483",481845,,
"08137102704",481846,30-SEP-2014 12:51:02,
"08137102423",481847,,
"36000052818",482488,,
"92771013507",482187,02-DEC-2015 15:00:16,
"92771067502",482188,31-MAR-2016 15:18:06,
"08137105523",482565,30-JUN-2011 10:18:40,
"08137109128",482991,04-AUG-2014 15:01:49,
"12547042833",482994,,
"12547042834",482995,,
"12547042831",482996,19-SEP-2014 09:19:30,
"12547042832",482997,,
"08137108922",482999,,
"08137108923",483000,,
"08004054800",483003,,
"08004081780",483004,05-JAN-2016 15:38:05,
"08004081920",483005,05-JAN-2016 15:24:25,
"08137102114",483006,30-SEP-2014 12:45:40,
"08137102115",483008,30-SEP-2014 12:46:03,
"89269045242",482678,,
"08373812500",483102,,
"88813000024",483052,,
"08373041534",483023,,
"08373072500",483036,,
"11917010457",483141,,
"49022045687",483158,,
"11917011600",483145,,
"36800018104",482772,,
"08373045800",483007,,
"62991285401",483053,,
"62991285404",483053,,
"62991285403",483053,,
"08004041300",484235,,
"08004103100",484259,14-MAY-2014 10:10:26,
"08004073900",484246,14-MAY-2014 12:44:07,
"08004078700",484247,14-MAY-2014 12:45:12,
"08004071000",484248,01-JUL-2013 09:28:59,
"08004105400",484266,15-MAY-2014 11:53:59,
"52372656505",484350,09-NOV-2016 13:39:55,
"52372656501",484350,09-NOV-2016 13:39:55,
"08004052700",484294,01-NOV-2015 15:16:44,
"08004053400",484295,12-MAY-2014 09:10:20,
"08004053900",484296,12-MAY-2014 09:39:10,
